Latitude (decimal degrees):	48.125
Longitude (decimal degrees):	11.583
Elevation (m):	520
Radiation database:	PVGIS-SARAH


Slope: 35 deg. (optimum)
Azimuth: -4 deg. (optimum)
Nominal power of the PV system (c-Si) (kWp):	4.0
System losses (%):	0.0
time,P,G(i),H_sun,T2m,WS10m,Int
20160101:0010,0.0,0.0,0.0,0.68,0.9,0.0
20160101:0110,0.0,0.0,0.0,0.5,0.76,0.0
20160101:0210,0.0,0.0,0.0,0.63,0.48,0.0
20160101:0310,0.0,0.0,0.0,0.94,0.34,0.0
20160101:0410,0.0,0.0,0.0,0.93,0.41,0.0
20160101:0510,0.0,0.0,0.0,0.63,0.62,0.0
20160101:0610,0.0,0.0,0.0,0.66,1.17,0.0
20160101:0710,0.0,0.0,0.0,1.3,0.34,0.0
20160101:0810,1440.2,362.43,7.54,1.55,0.41,0.0
20160101:0910,418.12,115.37,13.44,2.61,0.41,0.0
20160101:1010,69.16,28.78,17.33,4.0,0.83,0.0
20160101:1110,0.0,3.44,18.85,4.59,0.48,0.0
20160101:1210,0.0,0.0,0.0,5.13,0.34,0.0
20160101:1310,0.0,0.0,0.0,5.44,0.83,0.0
20160101:1410,0.0,0.0,0.0,5.24,1.17,0.0
20160101:1510,0.0,0.0,0.0,4.09,1.66,0.0
20160101:1610,0.0,0.0,0.0,2.34,2.07,0.0
20160101:1710,0.0,0.0,0.0,1.44,2.07,0.0
20160101:1810,0.0,0.0,0.0,0.73,2.14,0.0
20160101:1910,0.0,0.0,0.0,1.63,2.0,0.0
20160101:2010,0.0,0.0,0.0,1.42,2.28,0.0
20160101:2110,0.0,0.0,0.0,1.31,2.41,0.0
20160101:2210,0.0,0.0,0.0,1.2,2.55,0.0
20160101:2310,0.0,0.0,0.0,0.96,2.62,0.0
20160102:0010,0.0,0.0,0.0,0.68,2.76,0.0
20160102:0110,0.0,0.0,0.0,0.44,2.34,0.0
20160102:0210,0.0,0.0,0.0,0.1,2.21,0.0
20160102:0310,0.0,0.0,0.0,-0.14,1.86,0.0
20160102:0410,0.0,0.0,0.0,-0.32,1.79,0.0
20160102:0510,0.0,0.0,0.0,-0.42,1.79,0.0
20160102:0610,0.0,0.0,0.0,-0.55,1.59,0.0
20160102:0710,0.0,0.0,0.0,-0.57,1.72,0.0
20160102:0810,10.96,10.38,7.57,-0.57,1.86,0.0
20160102:0910,437.28,119.16,13.48,-0.09,1.93,0.0
20160102:1010,57.36,25.1,17.39,0.7,1.79,0.0
20160102:1110,0.0,0.0,0.0,1.34,1.66,0.0
20160102:1210,0.0,0.0,0.0,1.98,1.79,0.0
20160102:1310,0.0,0.0,0.0,2.35,1.93,0.0
20160102:1410,59.96,26.48,9.05,2.38,1.86,0.0
20160102:1510,0.0,0.0,0.0,2.03,1.38,0.0
20160102:1610,0.0,0.0,0.0,1.65,1.03,0.0
20160102:1710,0.0,0.0,0.0,1.28,0.76,0.0
20160102:1810,0.0,0.0,0.0,1.09,0.41,0.0
20160102:1910,0.0,0.0,0.0,0.52,1.03,0.0
20160102:2010,0.0,0.0,0.0,0.49,0.83,0.0
20160102:2110,0.0,0.0,0.0,0.5,0.62,0.0
20160102:2210,0.0,0.0,0.0,0.46,0.55,0.0
20160102:2310,0.0,0.0,0.0,0.49,0.62,0.0
20160103:0010,0.0,0.0,0.0,0.64,0.76,0.0
20160103:0110,0.0,0.0,0.0,0.69,1.03,0.0
20160103:0210,0.0,0.0,0.0,0.84,1.24,0.0
